age,dic
60000.0,0.002012
55935.0,0.002055
55934.7,0.00205
55934.5,0.00205
55934.1,0.002055
55933.9,0.002061
55933.6,0.002067
55933.3,0.002075
55933.0,0.002083
55932.7,0.00209
55932.4,0.002096
55932.1,0.002101
55931.8,0.002109
55931.5,0.002114
55931.2,0.002118
55931.0,0.002123
55930.6,0.002129
55930.3,0.002134
55930.0,0.002139
55929.7,0.002144
55929.4,0.00215
55929.1,0.002156
55928.8,0.00216
55928.5,0.002163
55928.1,0.002166
55927.8,0.002169
55927.3,0.002172
55927.1,0.002174
55926.8,0.002176
55926.4,0.002179
55925.9,0.002182
55925.4,0.002186
55925.1,0.002188
55924.8,0.00219
55924.4,0.002192
55924.0,0.002194
55923.5,0.002197
55922.8,0.002201
55922.0,0.002205
55921.2,0.002209
55920.3,0.002212
55919.4,0.002216
55918.5,0.00222
55917.5,0.002223
55916.5,0.002227
55915.5,0.00223
55914.4,0.002233
55913.3,0.002236
55912.2,0.002239
55911.0,0.002241
55909.7,0.002244
55908.5,0.002246
55907.3,0.002249
55906.1,0.002251
55904.8,0.002253
55903.5,0.002255
55902.1,0.002257
55900.6,0.002259
55899.0,0.002261
55897.4,0.002263
55895.6,0.002264
55893.9,0.002266
55891.9,0.002268
55890.0,0.00227
55888.2,0.002271
55886.4,0.002273
55885.2,0.002273
55883.9,0.002274
55882.6,0.002275
55881.0,0.002276
55879.3,0.002277
55877.6,0.002279
55875.9,0.00228
55874.2,0.002281
55872.4,0.002282
55870.6,0.002283
55868.8,0.002284
55867.0,0.002285
55865.3,0.002285
55863.5,0.002286
55861.7,0.002287
55859.8,0.002288
55858.0,0.002289
55856.1,0.00229
55854.1,0.002291
55852.1,0.002292
55850.1,0.002293
55848.0,0.002294
55845.8,0.002295
55843.6,0.002296
55841.3,0.002297
55838.9,0.002298
55836.4,0.002299
55833.8,0.0023
55831.0,0.002301
55828.3,0.002302
55825.6,0.002303
55823.0,0.002304
55820.4,0.002305
55818.0,0.002306
55815.6,0.002307
55813.4,0.002308
55811.2,0.002309
